0,000;1459,832;346,658
0,500;1457,266;346,710
1,000;1460,687;346,641
1,500;1461,543;346,624
2,000;1458,976;346,676
2,500;1457,266;346,710
3,000;1458,121;346,693
3,500;1458,976;346,676
4,000;1458,121;346,693
4,500;1458,976;346,676
5,000;1459,832;346,658
5,500;1469,250;346,470
6,000;1479,541;346,266
6,500;1480,400;346,249
7,000;1480,400;346,249
7,500;1482,117;346,215
8,000;1474,393;346,368
8,500;1480,400;346,249
9,000;1482,117;346,215
9,500;1486,413;346,130
10,000;1480,400;346,249
10,500;1485,553;346,147
11,000;1490,711;346,046
11,500;1489,851;346,063
12,000;1481,258;346,232
12,500;1485,553;346,147
13,000;1485,553;346,147
13,500;1488,132;346,097
14,000;1485,553;346,147
14,500;1484,694;346,164
15,000;1481,258;346,232
15,500;1468,393;346,487
16,000;1454,701;346,762
16,500;1474,393;346,368
17,000;1456,411;346,727
17,500;1453,847;346,779
18,000;1452,992;346,796
18,500;1448,722;346,883
19,000;1442,748;347,004
19,500;1441,895;347,021
20,000;1445,307;346,952
20,500;1439,338;347,073
21,000;1434,225;347,178
21,500;1441,895;347,021
22,000;1442,748;347,004
22,500;1441,895;347,021
23,000;1447,868;346,900
23,500;1444,454;346,969
24,000;1442,748;347,004
24,500;1443,601;346,986
25,000;1446,161;346,934
25,500;1447,014;346,917
26,000;1450,430;346,848
26,500;1452,138;346,813
27,000;1453,847;346,779
27,500;1447,868;346,900
28,000;1453,847;346,779
28,500;1448,722;346,883
29,000;1442,748;347,004
29,500;1437,633;347,108
30,000;1447,868;346,900
30,500;1445,307;346,952
31,000;1441,895;347,021
31,500;1445,307;346,952
32,000;1445,307;346,952
32,500;1448,722;346,883
33,000;1442,748;347,004
33,500;1445,307;346,952
34,000;1450,430;346,848
34,500;1450,430;346,848
35,000;1447,868;346,900
35,500;1448,722;346,883
36,000;1449,576;346,865
36,500;1448,722;346,883
37,000;1449,576;346,865
37,500;1447,014;346,917
38,000;1447,014;346,917
38,500;1449,576;346,865
39,000;1451,284;346,831
39,500;1446,161;346,934
40,000;1447,868;346,900
40,500;1447,868;346,900
41,000;1447,014;346,917
41,500;1445,307;346,952
42,000;1442,748;347,004
42,500;1441,043;347,039
43,000;1441,895;347,021
43,500;1445,307;346,952
44,000;1435,077;347,160
44,500;1435,929;347,143
45,000;1434,225;347,178
45,500;1441,043;347,039
46,000;1436,781;347,126
46,500;1442,748;347,004
47,000;1440,190;347,056
47,500;1444,454;346,969
48,000;1446,161;346,934
48,500;1444,454;346,969
49,000;1441,043;347,039
49,500;1440,190;347,056
50,000;1436,781;347,126
50,500;1438,485;347,091
51,000;1441,043;347,039
51,500;1441,895;347,021
52,000;1443,601;346,986
52,500;1442,748;347,004
53,000;1443,601;346,986
53,500;1441,895;347,021
54,000;1442,748;347,004
54,500;1439,338;347,073
55,000;1443,601;346,986
55,500;1447,868;346,900
56,000;1440,190;347,056
56,500;1435,929;347,143
57,000;1437,633;347,108
57,500;1435,929;347,143
58,000;1435,929;347,143
58,500;1438,485;347,091
59,000;1437,633;347,108
59,500;1438,485;347,091
60,000;1433,374;347,195
